,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2012-01-02,35002255.723928325,33405712.017825034,36427376.99448271,35002255.723928325,35002255.723928325,-48539.485181077056,-48539.485181077056,-48539.485181077056,641098.2329856163,641098.2329856163,641098.2329856163,-689637.7181666935,-689637.7181666935,-689637.7181666935,0.0,0.0,0.0,34953716.23874725
1,2012-01-03,34988291.58644099,33552976.093396164,36564319.357496336,34988291.58644099,34988291.58644099,-13053.907309315717,-13053.907309315717,-13053.907309315717,647695.6421768992,647695.6421768992,647695.6421768992,-660749.549486215,-660749.549486215,-660749.549486215,0.0,0.0,0.0,34975237.67913167
2,2012-01-04,34974327.44895365,33603084.35008503,36495271.63174404,34974327.44895365,34974327.44895365,8368.82560449433,8368.82560449433,8368.82560449433,638617.2151337272,638617.2151337272,638617.2151337272,-630248.3895292329,-630248.3895292329,-630248.3895292329,0.0,0.0,0.0,34982696.27455814
3,2012-01-05,34960363.311466314,33484244.738634422,36408288.57329394,34960363.311466314,34960363.311466314,49537.52623816878,49537.52623816878,49537.52623816878,648037.5147048424,648037.5147048424,648037.5147048424,-598499.9884666736,-598499.9884666736,-598499.9884666736,0.0,0.0,0.0,35009900.83770448
4,2012-01-06,34946399.17397898,33509389.35303436,36462486.07508651,34946399.17397898,34946399.17397898,79516.09291110928,79516.09291110928,79516.09291110928,645406.882741652,645406.882741652,645406.882741652,-565890.7898305426,-565890.7898305426,-565890.7898305426,0.0,0.0,0.0,35025915.266890086
5,2012-01-09,34904506.761516966,33478556.035407852,36467335.15404843,34904506.761516966,34904506.761516966,174205.79101727498,174205.79101727498,174205.79101727498,641098.2329855796,641098.2329855796,641098.2329855796,-466892.4419683046,-466892.4419683046,-466892.4419683046,0.0,0.0,0.0,35078712.55253424
6,2012-01-10,34890542.62402963,33689479.42831594,36666659.239016466,34890542.62402963,34890542.62402963,212881.5975629532,212881.5975629532,212881.5975629532,647695.6421762581,647695.6421762581,647695.6421762581,-434814.04461330496,-434814.04461330496,-434814.04461330496,0.0,0.0,0.0,35103424.22159258
7,2012-01-11,34876578.48654229,33588708.381791405,36596774.90332916,34876578.48654229,34876578.48654229,234807.12584418125,234807.12584418125,234807.12584418125,638617.2151337209,638617.2151337209,638617.2151337209,-403810.08928953967,-403810.08928953967,-403810.08928953967,0.0,0.0,0.0,35111385.61238647
8,2012-01-12,34862614.349054955,33729324.40002035,36666136.68823597,34862614.349054955,34862614.349054955,273831.85963278834,273831.85963278834,273831.85963278834,648037.5147045953,648037.5147045953,648037.5147045953,-374205.655071807,-374205.655071807,-374205.655071807,0.0,0.0,0.0,35136446.208687745
9,2012-01-13,34848650.21156762,33667034.7450945,36614744.33681062,34848650.21156762,34848650.21156762,299120.9692150702,299120.9692150702,299120.9692150702,645406.8827400783,645406.8827400783,645406.8827400783,-346285.91352500813,-346285.91352500813,-346285.91352500813,0.0,0.0,0.0,35147771.18078269
10,2012-01-16,34806757.79910561,33631015.12568042,36634190.92841084,34806757.79910561,34806757.79910561,366343.92381359584,366343.92381359584,366343.92381359584,641098.2329854396,641098.2329854396,641098.2329854396,-274754.30917184375,-274754.30917184375,-274754.30917184375,0.0,0.0,0.0,35173101.7229192
11,2012-01-17,34792793.66161827,33742988.938615315,36621095.80944296,34792793.66161827,34792793.66161827,392280.1900064871,392280.1900064871,392280.1900064871,647695.642177718,647695.642177718,647695.642177718,-255415.45217123098,-255415.45217123098,-255415.45217123098,0.0,0.0,0.0,35185073.85162476
12,2012-01-18,34778829.52413093,33644608.96359334,36592694.23918957,34778829.52413093,34778829.52413093,400222.3799371901,400222.3799371901,400222.3799371901,638617.2151337294,638617.2151337294,638617.2151337294,-238394.83519653924,-238394.83519653924,-238394.83519653924,0.0,0.0,0.0,35179051.90406812
13,2012-01-19,34764865.3866436,33700688.119812906,36726916.386438034,34764865.3866436,34764865.3866436,424396.7847372696,424396.7847372696,424396.7847372696,648037.5147052351,648037.5147052351,648037.5147052351,-223640.72996796548,-223640.72996796548,-223640.72996796548,0.0,0.0,0.0,35189262.17138087
14,2012-01-20,34750901.24915626,33765481.03138194,36578082.62160098,34750901.24915626,34750901.24915626,434364.56932171236,434364.56932171236,434364.56932171236,645406.8827385044,645406.8827385044,645406.8827385044,-211042.31341679202,-211042.31341679202,-211042.31341679202,0.0,0.0,0.0,35185265.81847797
15,2012-01-23,34709008.83669425,33681396.66986452,36667033.49547146,34709008.83669425,34709008.83669425,456832.31589962146,456832.31589962146,456832.31589962146,641098.2329854026,641098.2329854026,641098.2329854026,-184265.91708578114,-184265.91708578114,-184265.91708578114,0.0,0.0,0.0,35165841.152593866
